DAI,OOKS,0x82703A38C707b711856b3459f59537da1Ed34498
DAI,OXT,0x3AdA019e873601D1998Cc12F174131287247Ded6
DAI,OUSD,0xb6e68FFD464B5BECCCe4bC76DBD2fedC5d1AD7d3
DAI,OWL,0x17FbBa7388302F835Ba2dEd8D18b5248d0Ad3D45
DAI,PICKLE,0xD0F77Ae86d382D1F6384A425815e4c1B7a4dec2B
DAI,DEFI_P_S,0x7aeFaF3ea1b465dd01561B0548c9FD969e3F76BA
DAI,DOUGH,0x0Cf90B0ba4244Aa02fB48184411ED7461104bDc9
DAI,PLR,0x025d34acFD5c65cfd5A73209f99608c9E13338F3
DAI,PLOT,0x1952b48C585FAf5e61fD8D1cdc9cB07fde287535
DAI,PLU,0xE1288e6a8DcE60E053BAf695Fa8FaF4321b587c7
DAI,PROPHET,0x5cC4a8CD4a6557E7670d45dFA72c55C2F7C6780D
DAI,PROS,0x990349b4642cADd8CC118f5570123A1505868086
DAI,pBTC,0xF0F6c8b38B5F4D48D94254DEE514D731F7Ae2a1A
DAI,QCH,0x799Fa2ceF53219aB922f50CeCe36ea7B4d37348B
DAI,QHC,0xeFc1a9fa3C1a81BaDFCEabF34681bf801C5204fB
DAI,QNT,0x52798667BbB471E45B3aDa5EAC673610c8a0A9b2
DAI,QUA,0x60EcEf7e3013C01241f28586BD332D221d269d1f
DAI,RDN,0xC5BE1A730bB2ecf6E567Ba2c4E4fDF4F95F4e17C
DAI,RARI,0xF562a4fF32f75E199de5B0bf05AE0F7Da46972eB
DAI,CHAI,0xF24D78Aad09Ab026aC5242E34C99200eEE3529Db
DAI,CHN,0xE759dB7c74DaE04d4ccD08e2f62e53D1a1A213B1
DAI,Coval,0x5932F22E560aDF35B31B3c8fB457759Dac608B2e
DAI,CVC,0xF88A988F08a5DA88B25F52710a8C665B107d0b71
DAI,DG,0x2860D769E49A0873C14C479B859640aC34d18CE6
DAI,DOLLAR_DG,0x2de531C2a1dfa7D6BCFCb19fc72BbfaEa680a5f4
DAI,DENA,0x44Fa3D570f1838DCF079ac7D19b8f2D23E2b889F
DAI,PIE,0xBa07D00691D84Bc97999D1Caff80E46c4A26FFCD
DAI,DPI,0x3AF31a22aB166567e7F3f126142d1cBCA48622fB
DAI,ISLA,0xf3933A6a82fba8a349a7124c8D8226d7c4d7b6Cb
DAI,DYP,0x087Bf4ECd89C0A37A52D08Ca3c47642e1af471e7
DAI,buidl,0x98c6938F15cb8e12AfF2a8cA9b0a9f2fC6e20901
DAI,YFIII,0x05249C6ede2EBc84493ca9B7AF5fb816bA00CD01
DAI,DZAR,0xB37c66831256cC83B53aB30F008d55Cb42aC7186
DAI,DHS,0xd141c76eD0C9E4676a9c14eD1d525864C22cE894
DAI,DNT,0x9d62572dEb716d67F3bad300ce1191A3B6916dA9
DAI,DMG,0x83059A8c5d23DCB5CA735B045fBF49244f586048
DAI,DOGEFI,0xc282e6c2351Da2C4475120075Cd98d45C6461fe8
DAI,DOGY,0x5cF4ac49D3D39bBc46a7D3953D78fC2C76DA4638
DAI,USDx,0x4c211a608F85661a72562E5381429ECC0298C297
DAI,DONUT,0x16794085aA3f5Aaf3dAbdc1Fe510d19589952514
DAI,DRGN,0x9Ab88BD93206fAC46869627ab19143fbEe026974
DAI,ECO,0xBA46D3E276a1E9968379419b926CC4Baa07C544c
DAI,ESD,0xABAB7C5E655a68f9CCd238403f29fA0a146f25Af
DAI,ENJ,0x8F4E5d6B4Ec386C5E7Df984178eF12b87e3d3F95
DAI,ERC20,0x4ae05866348D640cD127DeE07a6852c28F393025
DAI,FUN,0xF2f2526AB7e925E74c10F6984BfB3030D8Bda2Ff
DAI,FUSE,0xEB5455590Bb2BF67d54D7D3AFfAA1930c5132B14
DAI,GST2,0x2BB8c3D1cC99F4592211424eE3dD1463D2be0F7e
DAI,GUSD,0xF660129233C46D586f540922C1F85969c41C5d39
DAI,GWS,0x5669Deb8CC857661e64Fe08F41Bd74536758818E
DAI,GET,0xCFe2E51a2900902642a6b1cF8Abb74941880B6a0
DAI,GRT,0x7C62Fe44A893268411e9f0BB1Ed944f7c8598F92
DAI,GLM,0x0dDCdA72833E8CbC4f94c24bC7A1bAf14853e76E
DAI,GOF,0xB6E4E2a27A163E5b40a67E2a1753963492260A9C
DAI,HAKKA,0x8A5f77f0EDe293fb96b6EaF1273C56A5bd4213FD
DAI,FARM,0x2685C7ADC794ECfeea51C01990423CD6C7B6E92f
DAI,HATCH,0xAd1EeFE7E53E8f02f50672d80BB9899eD27F8D3F
DAI,HEGIC,0x502700F282e6BfC2Bb3b805893fAdFfaCf688e7b
DAI,HEZ,0x9bD82673C50acB4A3b883d61e070a3C8D9b08E10
DAI,HEX,0xe1aB0442520D5b8bCf09317aD7E0C5bAD5824fcd
DAI,KARMA,0xA9dF0Fe172470dD6eE998573C409a54a26daD463
DAI,KATANA,0x20Edd20c7c1270F0bb3db17Da1F76C50fb210507
DAI,KP3R,0x184a96e221FBFbaB562a3d4c3365FE12E35F463e
DAI,PNK,0xaBdC325419c2A84A79986c60aB7475d6C4E78b53
DAI,MEGA,0x88fE63115ea31beEBd4321751A2f0F0d88D6B393
DAI,MTA,0x53B2234D9806D4e8A87Cf37772FBB07C30Fc16a6
DAI,MUSE,0x7b85e09f787fD42dAD2cD32c600485ecaF191B49
DAI,MUST,0x7869e5EE59330e189fE55A435f2F9dAB5d7b03a2
DAI,NEST,0x69dea832912221EA802Af1dE4F0007ddc00Fd3E1
DAI,USDN,0xb729ed4526eA296410F5402C1a6d76F5b0097b0f
DAI,NEXO,0xdc011f7a9AAB21d19d853271c8c7Dda1ECcB1B14
DAI,NFTFY,0x03dc5faCE54501972F5b14292D05BDAa74aEc982
DAI,REL,0xED9Ca2A60d683c9ba04FD2Bc043AAd76A0afC59F
DAI,renBTC,0x7F4bc1F022A403300356e3FfFab6251c8AA4d26b
DAI,renDOGE,0x75c46409C5Fa8Cf79E4009695493138CA2813FEd
DAI,renZEC,0x05EFD75C8E709649c2822Ed0BE932C38a15dA649
DAI,REN,0x2d0A1c45cD6f7CDb718703d0897c877EFc9dB9F7
DAI,REQ,0x5522c339d35A6c3E5F328c8746bDF88F599dab83
DAI,REVV,0xAbD96F1ff7Acb2F08e15C28ee58fB61381474c22
DAI,XRT,0x72674274b01E6EBA3DEa6da7EC1d7d9a2e5d2Db7
DAI,SAKE,0x4e1f89DE12c51047Ff4137d1F6aed25fcc9AAE52
DAI,sDEFI,0xcc88101aa713854DbE0964078799f97a8934Be17
DAI,SENC,0x7e4f2843673a64674f1ab81d74242BFbE1A6e9CF
DAI,SKM,0x361B02fd0d3Dffdcf1C9D658d0588017403d9218
DAI,SGT,0xc9d8760c7a834559132e60e95187CB5569eD87C1
DAI,SMDX,0xE54b8a8E5134e96832B3b1f30379701bA7ff5324
DAI,SPANK,0x6fd5812DB757e1cBF61b4698618105FeF6Fef694
DAI,SPRKL,0xf360b1156e5969cB78a5B0EcF796fB8a6571DfB3
DAI,SPOOL,0xF3b675df63FB4889180d290A338fc15C0766fd64
DAI,stETH,0x9F678870D0060cbC5fE3AFC5BcD702B0Ad8CCD8a
DAI,EURS,0x3DC6a6e71Ac0fd0DB259Cb1FDB6b00500d6f2836
DAI,STA,0x26549DafCdEAB23DE3C0EF7A8F525B46c8880523
DAI,SNT,0x43670aaac017a995A5eCAbc9cBd76c76CA03168e
DAI,STORJ,0x136ebE33c2f3992Ce2CA9bF66349264Be2c63240
DAI,BZZ,0x145eAE953C4C2d43fAEac7CcD08F5b906981CCF1
DAI,SXP,0xed64aB11a68887fd4ffF9174D55B4cF5A70c3F0B
DAI,ESH,0x87e08336BAEf93E977dCE821258BfcB3BB256197
DAI,SYLO,0x4edC6E446a551Ed9b5a9C490fcb3bFdE04eacB1e
DAI,TBTC,0xBc6eD317679f15854099b027DBe4Fd729274D395
DAI,SAND,0x2A96d40539B2c884b0D99fa228f9Cb8849501a02
DAI,LON,0x3B6114b47D29B99d5cEf81e63F9B423488C3DcbF
DAI,TPT,0x6840b87F1D051353c979235ed537aDA7538Fa0C5
DAI,TOLL,0xf877C8414088a4853F1A33FD7aaFe7456A391cfF
DAI,SLICE,0x896EEBEB02F81445F5A88ff7884AF8d937294ee8
DAI,TRND,0x36dfc065AE98E97502127d03f727dEC74DB045bA
DAI,TGBP,0x1dC9e98cd4b39266a31cFe6Cf6C4fEeA2Ef9741c
DAI,TUSD,0xbdFa9eBFf5369bC10ff75b4a2FBfce8d5caf1024
DAI,SWAP,0x12F745e1349B4A14e528173596522cF8Be7C7340
DAI,UBT,0xB6a4614Bf9F6D9B025c07311A191c8De974386A9
DAI,UniFi,0xE6FA7f2822235591166Ac134D189F958a110c0E7
DAI,LAYER,0xF92A90AD43380B6eBaB54fb1A550d381AF090d39
DAI,UNN,0xdE52012a00ad8b91b431eF5f590A1289b3Eb78d2
DAI,SOCKS,0xDF15D735f582Ca2ea1FBb8F6FF8c5FD18B106C26
DAI,UNISTAKE,0xB2b1682044391dD15B12e60E357DbF1E19969211
DAI,UNI,0xf00e80f0DE9aEa0B33aA229a4014572777E422EE
DAI,uSD,0x08280d671811C96aC376533e0a41dd6be3b15984
DAI,COL,0x7D2a2E96B24D6b24e63Fd79e4c81A41Db4C15C7B
DAI,UBI,0xeA7952FAC7Ff6e997d895C1566599b86b91444C0
DAI,ULU,0xB2904fF1F7B3F111c4c6B5aA5631bA380aEf4C3A
DAI,UQC,0xb493B383791430383c75c6A4518eF4d0588744c4
DAI,USDP,0xd1D2c6039509C5C73D1463FC62B4C8d4E8612392
DAI,USDQ,0xB014be3bc57794a812B2F67cdD9E609F86bd5129
DAI,VBIT,0xccC625915A0669524714dED223ddeba8c27E61b2
DAI,VNTW,0xd9402e76C13c7bcc94F6234fb983655bf99039Cc
DAI,VNDC,0x3f240B923A3C6313525A5218F75F05451cD3a25d
DAI,WETH,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11
DAI,WOZX,0x4164f0C7500681cFf3ea5f2B06BAf9a329894AA3
DAI,wANATHA,0xD82caF48412c42bA3d41086Dc520E4629561992C
DAI,WBTC,0x231B7589426Ffe1b75405526fC32aC09D44364c4
DAI,WCK,0xd8be3961aF576BCdFaa9C6B45CC736ABab7CA9F9
DAI,WUSD,0x896344E206bA811C5599DDc0233Db0cE5d977a10
DAI,STAKE,0x8FCCc2F2279bc5318700B1F2278B69559baee2c4
DAI,XIO,0x25202bde318Ff6e4A34050246458968007B13530
DAI,XSP,0x96cc4beD03d8dd176490d998E93688f041f12343
DAI,XYO,0x5dEdfD9DFCfeaBDF447d6e9b87B9036ea3e53C93
DAI,YAMv2,0xecBFC962140BD6F2a85Dfc98E62c52C00959290E
DAI,YFI,0x3CD132ac73A4043Bb4f1674369E70BE6f88EdD73
DAI,YFBETA,0xAC1eD2BdddAD0094C1e41124874c062bF629d028
DAI,YFFI,0x1E20Eb7c3Ca62A854078c20112c119B795b065A6
DAI,YFII,0x470459eE1Ce436640A1739a3971c3605F483ca7a
DAI,zLOT,0x48598b64d88aB649e49e82f9e328eEeE5011a8ff
USDCUSDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f
USDC,ZCN,0xd0423D84f73146D73802dE8CF0C64Ad0bf36C882
